 Note : printing only level information for kind 5
WARNING: (vgd) cannot find !! with the following: ip1=        -1,ip2=        -1
WARNING: (vgd) Trying to construct vgrid descriptor from legacy encoding (PT,HY ...)
(vgd)  Looking for kind= 5
(vgd)    Found        80 unique ip1 of kind  5 among the         92 records in file to construct the vertical descriptor
(vgd)   hybrid (un-normalized) coordinate found
(vgd)    Vertical descriptor successfully reconstructed
 -- Vertical Grid Descriptor Information --
   ip1= 2009
   ip2= 1000
 -------------------------------------------------------
 Vcode= 5001
   Descriptor Nomvar: !!
   level kind = 5, level version =   1
   ptop= 10.0000001490116119 Pa
   pref= 80000.0000000000000 Pa
   rcoef1= 1.600000024
   Surface field nomvar P0
   Number of hybrid levels 80
   Equation to compute hydrostatic pressure (pi): pi = A + B * P0*100
   Momentum levels ip1, A, B:
 97642568 10.0000001490116119 0.000000000000000000E+00
 97738568 17.6501587679922523 0.373010180965138716E-06
 97899568 30.4157651862624334 0.180293352514127037E-05
 98152568 50.3681939153466374 0.539758002560120076E-05
 96569992 79.7569964925060049 0.130375510707381181E-04
 96621992 120.214963098987937 0.273129699053242803E-04
 96692992 174.995901179499924 0.525512950844131410E-04
 96785992 246.067887637764215 0.941513280849903822E-04
 96901992 333.775834878906608 0.157801972818560898E-03
 97045992 441.377311944961548 0.252783764153718948E-03
 97218992 568.983249831944704 0.387709209462627769E-03
 97423992 718.077314086258411 0.574033183511346579E-03
 95539416 886.428644880652428 0.819642213173210621E-03
 95566416 1076.76396146416664 0.114045082591474056E-02
 95597416 1291.54583439230919 0.155567680485546589E-02
 95630416 1516.09988883137703 0.204875110648572445E-02
 95667416 1763.20258527994156 0.265996856614947319E-02
 95707416 2025.13379976153374 0.338582717813551426E-02
 95750416 2301.02930217981339 0.423713354393839836E-02
 95795416 2583.79556238651276 0.520255696028470993E-02
 95842416 2872.94495850801468 0.628818711265921593E-02
 95892416 3173.93787205219269 0.752577837556600571E-02
 95944416 3480.05354404449463 0.889933109283447266E-02
 95996416 3779.40319478511810 0.103574590757489204E-01
 96050416 4083.37526023387909 0.119578102603554726E-01
 96104416 4380.57087361812592 0.136428670957684517E-01
 96158416 4671.20982706546783 0.154098747298121452E-01
 96211416 4950.28197765350342 0.172214731574058533E-01
 96263416 5218.29724311828613 0.190712809562683105E-01
 96313416 5470.73051333427429 0.209158677607774734E-01
 96362416 5713.21427822113037 0.227848216891288757E-01
 96408416 5936.52948737144470 0.245933849364519119E-01
 94474840 6136.83849573135376 0.262895189225673676E-01
 94479840 6370.91815471649170 0.283635258674621582E-01
 94484840 6600.31765699386597 0.304960273206233978E-01
 94490840 6869.53753232955933 0.331307835876941681E-01
 94497840 7175.44257640838623 0.363069698214530945E-01
 94505840 7514.49882984161377 0.400687679648399353E-01
 94513840 7842.56368875503540 0.439679585397243500E-01
 94523840 8237.57231235504150 0.490303412079811096E-01
 94534840 8653.23960781097412 0.548345074057579041E-01
 94546840 9084.79958772659302 0.614400021731853485E-01
 94560840 9560.24050712585449 0.694969892501831055E-01
 94577840 10098.2081890106201 0.797723978757858276E-01
 94594840 10594.3894386291504 0.905701369047164917E-01
 94612840 11075.6611824035645 0.102554231882095337
 94631840 11535.9675884246826 0.115800395607948303
 94650840 11948.7237930297852 0.129640966653823853
 94671840 12351.1981964111328 0.145610034465789795
 94692840 12698.8172531127930 0.162264794111251831
 94715840 13018.3351039886475 0.181270822882652283
 94738840 13275.5637168884277 0.201055467128753662
 94761840 13472.0909595489502 0.221598848700523376
 94786840 13618.5646057128906 0.244767934083938599
 94811840 13696.7682838439941 0.268790394067764282
 94838840 13706.3670158386230 0.295670419931411743
 94864840 13643.7988281250000 0.322452515363693237
 94892840 13499.3815422058105 0.352257758378982544
 94920840 13276.7772674560547 0.383040308952331543
 94949840 12965.5337333679199 0.415930837392807007
 94978840 12573.8263130187988 0.449827164411544800
 95008840 12085.6094360351562 0.485929906368255615
 95039840 11494.1358566284180 0.524323284626007080
 95070840 10815.8922195434570 0.563801348209381104
 95101840 10052.4520874023438 0.604344367980957031
 95130840 9262.42828369140625 0.643219649791717529
 95158840 8431.18190765380859 0.681610226631164551
 95183840 7632.95650482177734 0.716588020324707031
 95207840 6817.55065917968750 0.750780642032623291
 95230840 5991.51134490966797 0.784106135368347168
 95250840 5238.09432983398438 0.813523828983306885
 95269840 4492.37346649169922 0.841845333576202393
 95287840 3759.18865203857422 0.869010150432586670
 95303840 3085.82782745361328 0.893427133560180664
 95318840 2436.17057800292969 0.916547894477844238
 95332840 1813.88854980468750 0.938326418399810791
 95345840 1222.35774993896484 0.958720505237579346
 95356840 711.574554443359375 0.976105332374572754
 95366840 239.114761352539062 0.992011070251464844
 93423264 0.000000000000000000E+00 1.00000000000000000
